Commodity,Fold,R2,RMSE,MAE,MAPE
Atta (Wheat),2018→2019,-3.8895024136257295,4.302839571650087,3.7463306327581525,10.036794398536692
Atta (Wheat),2019→2020,-0.08433477669973155,2.097014417608966,1.710055745998104,4.291882218422899
Atta (Wheat),2020→2021,-11.819887168252455,2.054860267654737,1.6533512525418554,3.908865578562865
Atta (Wheat),2021→2022,-0.8244641495423293,3.2470707262922778,2.512488692323185,5.361193967381609
Atta (Wheat),2022→2023,-0.720436019768802,2.4314610273550246,2.2511147063724573,4.400704427945634
Atta (Wheat),2023→2024,-23.296416776691398,2.6177177016306277,2.5155913532159495,4.645800008640953
Gram Dal,2018→2019,-44.17845920563322,9.969329062924427,7.955437001651698,11.125902158558308
Gram Dal,2019→2020,-0.29282825047368544,4.98939235014575,4.487887283342168,6.116399236240635
Gram Dal,2020→2021,-6.334178316051917,4.037479783366483,3.4490469776765607,4.4380813028226385
Gram Dal,2021→2022,-2.9223210766138936,3.5743865791285603,3.058330174818687,4.092595587892691
Gram Dal,2022→2023,-0.06335597593759035,7.027346375028923,4.907709307411299,5.7975115736260445
Gram Dal,2023→2024,-8.716452702063814,11.12956555415084,10.173175390795866,11.234813209752048
Groundnut Oil (Packed),2018→2019,-5.496412720248134,11.293014780318948,9.945560366097801,6.475947241577858
Groundnut Oil (Packed),2019→2020,-0.9300671745927671,11.149306993829587,9.721502896431602,5.550547839412599
Groundnut Oil (Packed),2020→2021,-2.806391153238645,16.837347051510044,16.054190790842082,8.310623836985439
Groundnut Oil (Packed),2021→2022,-0.11736052824069843,9.638068693622651,6.3209266769479555,3.0038037343481117
Groundnut Oil (Packed),2022→2023,-14.563738495118244,12.39078666686837,10.271079070982415,4.793087890503597
Groundnut Oil (Packed),2023→2024,-13.678516772490097,8.438899300246677,7.144610326040663,3.5148023994022775
Gur,2018→2019,-0.5215262793898419,1.5247435611366353,1.2673876694241233,2.440393845404298
Gur,2019→2020,-3.54427927285331,3.7875323118720194,2.988132872789283,5.321586756066102
Gur,2020→2021,-9.867323630297935,3.045515042386292,2.720469266403606,5.146651968543691
Gur,2021→2022,-3.8413609057026754,3.127118437692069,2.3610691641647876,4.541956824252533
Gur,2022→2023,-1.4222984988412892,1.4836492543908708,1.2700623663625414,2.362917929392695
Gur,2023→2024,-10.843140589087968,2.3510059683366586,2.0231157776390916,3.624952061696809
Masoor Dal,2018→2019,-1.8027480797917756,3.275606828493198,2.8290722975489175,4.434152151223627
Masoor Dal,2019→2020,-0.9379473085307621,7.053613251712275,6.112879881803544,7.8089384240087085
Masoor Dal,2020→2021,-1.7055855197563385,9.447925816973282,8.553450502248896,9.433217301719484
Masoor Dal,2021→2022,-147.04336017861183,8.678781232367848,7.334338954997804,7.442335552802278
Masoor Dal,2022→2023,-2.9265504882592,3.747410241015049,3.5368725153097293,3.7991005315980235
Masoor Dal,2023→2024,-0.8824223997701666,1.3660022473315196,1.030713174454318,1.106626229251972
Milk,2018→2019,-1.2571411296972252,5.063650337024211,3.760322483541289,8.680833036672633
Milk,2019→2020,-35.81257663027629,1.9081877396847111,1.6547026711637063,3.8482030464328956
Milk,2020→2021,-0.27969558213614,1.2903330141458946,1.103712857999664,2.656489887436639
Milk,2021→2022,-14.124911945462408,0.77887372504629,0.7112390954075766,1.7096527292048438
Milk,2022→2023,-1.2673466523982926,2.632122510155736,2.1596414796211025,4.7694957769026995
Milk,2023→2024,-15.18715000974477,1.0037308536481993,0.8985860244346462,1.907057988365133
Moong Dal,2018→2019,-3.2238818054813008,9.801695009555063,8.995357750271017,9.963282373868111
Moong Dal,2019→2020,-3.9110187539203825,15.530541855809401,12.651090245185713,11.027225358601758
Moong Dal,2020→2021,-1.0470154201742008,5.545668533083916,4.8024244678636805,4.478678091403184
Moong Dal,2021→2022,-45.93950934302222,5.963211577401159,4.940545555353044,4.729680756195631
Moong Dal,2022→2023,-2.590462877225222,10.353769151014282,8.803944433021842,7.376138355235709
Moong Dal,2023→2024,-45.1694755108224,5.522788632130455,4.9163015178331015,3.963031328916232
Mustard Oil (Packed),2018→2019,-0.3870466424876906,3.1389051792624745,2.7388037368532197,2.1593233595607804
Mustard Oil (Packed),2019→2020,-3.4676577157488433,4.846211929866313,4.488837166778299,3.3457911848532538
Mustard Oil (Packed),2020→2021,-3.5408697683892356,34.88461627252599,31.64243882695831,18.03267522792531
Mustard Oil (Packed),2021→2022,-17.39541031119954,25.72568587570532,24.339961639685555,11.627199973952846
Mustard Oil (Packed),2022→2023,-1.7111100193165028,15.343084686557358,14.136636409745847,7.462574045539188
Mustard Oil (Packed),2023→2024,-10.214909523976063,12.020555495717291,11.019729357415667,6.264687308666887
Onion,2018→2019,0.2695569899298653,20.226531471557667,11.38107740929892,23.09990892659258
Onion,2019→2020,-3.7982030119419816,39.71996943332085,35.07839707652248,107.0685171661687
Onion,2020→2021,-2.393630476911312,14.406290473252115,11.864222199882462,35.23881323644041
Onion,2021→2022,-0.26269679245726385,6.935981852375703,5.601121516351264,19.11760626186827
Onion,2022→2023,0.3753201047696775,9.201531932144329,7.1013513330556295,19.23032325611703
Onion,2023→2024,-1.1379975959573785,9.138557330262822,7.302954264214007,19.645342937694178
Palm Oil (Packed),2018→2019,-2.527346661467698,7.5241237210431855,6.306822412548464,8.716536936327559
Palm Oil (Packed),2019→2020,-3.5480940811182675,11.813587413841669,10.51804277582278,10.974173786165647
Palm Oil (Packed),2020→2021,-12.131621255855498,26.484473097671906,24.59239504746434,18.49275814997602
Palm Oil (Packed),2021→2022,0.34704713273711285,16.29728303018069,13.988294343228594,10.717742841107828
Palm Oil (Packed),2022→2023,-24.08724820949324,30.632675605386872,27.55622065845027,28.125835611093468
Palm Oil (Packed),2023→2024,-5.776032837005625,6.316301386379824,5.885372781339823,6.275858078853254
Potato,2018→2019,0.2080256026227698,2.5657416873753944,2.218060928217765,8.90832246142949
Potato,2019→2020,-1.2076993507684137,7.883063095778196,6.629263187420236,16.67383175430074
Potato,2020→2021,-2.482298309528268,7.444123788513403,7.026533339518427,23.838387203585597
Potato,2021→2022,0.6324428627061819,2.8003801145334735,2.536328648697579,7.252572122455185
Potato,2022→2023,0.5549306653733157,2.7302087108085944,2.3229862119632685,7.07698175552403
Potato,2023→2024,-0.6997415676248591,7.227027733337922,6.572429984421919,15.35825072334866
Rice,2018→2019,-0.8904436631349599,5.369445084181031,4.241730584198795,10.468073492622002
Rice,2019→2020,-2.2799938621633373,2.7294904017255748,2.383001063916287,5.100054019971056
Rice,2020→2021,-3.2560863611168402,0.9246813193191885,0.7555785561763019,1.6181550427515834
Rice,2021→2022,-0.5796743131095214,2.1303442354360524,1.6240489563207052,3.3002620012383925
Rice,2022→2023,-1.9843624193259974,4.794455792298275,4.375665146866274,8.015508205762426
Rice,2023→2024,-14.161908467274808,4.3444665870966634,4.015926476840314,6.564007490348778
Salt Pack (Iodised),2018→2019,-2.472785690350306,0.6690862441964966,0.6239533797057545,3.5698163678906187
Salt Pack (Iodised),2019→2020,-2.888785371796059,0.6988511891943712,0.618109241331895,3.451452512397125
Salt Pack (Iodised),2020→2021,-4.790534767654782,0.9471727885476329,0.8350695128154015,4.339739130673563
Salt Pack (Iodised),2021→2022,-2.840554527977767,3.406179148681757,2.838625928725454,12.322379060277267
Salt Pack (Iodised),2022→2023,-1.0719920713533986,0.8178966804855964,0.7625047836928752,3.118891442343004
Salt Pack (Iodised),2023→2024,-78.27002901761982,0.5445410165809043,0.49337133744720374,2.022862676720225
Soya Oil (Packed),2018→2019,-0.39412397100888197,12.96858043422659,7.6420684376925125,6.986087072740858
Soya Oil (Packed),2019→2020,-16.814415015182174,15.886207474845465,12.35028308882081,15.240509332624411
Soya Oil (Packed),2020→2021,-70.11149098341751,6.014690463144843,5.7258279656851165,6.5160060664470905
Soya Oil (Packed),2021→2022,0.0,0.9332365932616877,0.7777182261149088,0.8837707114942146
Soya Oil (Packed),2022→2023,0.0,0.7393203575504697,0.6044953664143881,0.6869265527436229
Soya Oil (Packed),2023→2024,0.0,2.4400830634530917,1.8555097579956055,2.108533815904097
Sugar,2018→2019,-6.260925797789373,2.5345629425258864,1.997712740638839,5.288267976336717
Sugar,2019→2020,-1.4711017637666344,1.579056176536362,1.227016334732653,3.0602368963404984
Sugar,2020→2021,-0.9172607292786499,1.7960065691330682,1.5936991448904774,4.062204662079879
Sugar,2021→2022,-31.430061371464014,1.5529884027330148,1.3141963757477335,3.315199855548162
Sugar,2022→2023,0.08056686074150243,1.5379100016656084,1.4196344539839618,3.4291656855354806
Sugar,2023→2024,-2.0615221706353397,0.9723931842497677,0.8576676134569885,1.9622845405908795
Sunflower Oil (Packed),2018→2019,0.2311198870513227,3.3076009529742896,2.0018289011356067,1.9211791692409903
Sunflower Oil (Packed),2019→2020,-2.2929536950372817,15.044040416452535,12.472623828579122,10.483394842867217
Sunflower Oil (Packed),2020→2021,-12.360433242457786,36.717744386125545,34.27849885498086,20.889969649687774
Sunflower Oil (Packed),2021→2022,0.21817829760044571,15.345706780430957,13.797583183605,7.689914927644685
Sunflower Oil (Packed),2022→2023,-6.274937941808349,46.93059788878491,42.324547874876494,34.47350704819477
Sunflower Oil (Packed),2023→2024,-266.1870435021336,11.125511777598797,8.726326070967279,7.668822998859815
Tea Loose,2018→2019,-0.45723612850825157,16.966126572160345,11.879646174089517,5.126241080533581
Tea Loose,2019→2020,-0.4816471475571549,8.291014689864111,6.516863557628149,2.9225024561549313
Tea Loose,2020→2021,-0.5692534365459814,34.05580955020946,25.086379454768934,9.111275933570061
Tea Loose,2021→2022,-6.8344113505115525,21.97771135739013,20.88613097919517,7.737500055404116
Tea Loose,2022→2023,-4.520391104700511,18.298547065712395,17.33253390954521,5.982867625649241
Tea Loose,2023→2024,-11.264028042959007,26.983618504939628,24.368281934025994,7.973764178067645
Tomato,2018→2019,-0.8818198954134349,12.44385524407556,9.425353278793436,32.939214172803105
Tomato,2019→2020,-1.3603447457368136,11.480888182818086,8.783588552294638,38.89623090365515
Tomato,2020→2021,-0.46136946038905746,20.916474029860858,13.982416272575813,45.491905569831154
Tomato,2021→2022,-1.0128612726879087,19.56149949133462,16.438985689373183,59.903360930175076
Tomato,2022→2023,0.3170590982589674,20.14661041540872,12.665553781960602,27.554298403103527
Tomato,2023→2024,-0.43219199365422467,12.453490202869974,11.610881095166288,33.848486362786204
Tur/Arhar Dal,2018→2019,-6.649132303003142,15.066654532670157,14.014495362031298,15.349224994177552
Tur/Arhar Dal,2019→2020,-0.9408691622182555,10.045717500782432,7.276336531050109,6.722551129713604
Tur/Arhar Dal,2020→2021,-13.294853527938015,8.190099948655137,5.729463013873996,5.3396055916065785
Tur/Arhar Dal,2021→2022,-0.5015139314210244,8.489539250002895,6.7121311114770705,5.756100156530898
Tur/Arhar Dal,2022→2023,-0.9297230769839939,30.922019205339723,27.135837425712435,17.247663436050185
Tur/Arhar Dal,2023→2024,-1.16375553155744,10.225835412063834,8.525793105490703,4.95896400838312
Urad Dal,2018→2019,-0.4304340255439538,15.338323457015214,13.165741972923769,13.399598482308628
Urad Dal,2019→2020,-11.230779166795259,15.90668212451677,14.218660237684901,12.031061096185832
Urad Dal,2020→2021,-1.0563578988368305,4.211251077345831,3.459540339692193,2.88041416290505
Urad Dal,2021→2022,-0.7848343646888589,8.387723587375136,7.524380669050315,6.644259816361196
Urad Dal,2022→2023,-1.0566021747350551,13.9929821156586,12.166677441184362,9.113971104033137
Urad Dal,2023→2024,-152.99528162687932,17.487911541957708,14.516516686173244,10.185247536107713
Vanaspati (Packed),2018→2019,-15.809820683653797,6.886088276821294,6.367284269732327,7.371072895244968
Vanaspati (Packed),2019→2020,-5.377243536872849,8.907122337010136,8.074501951982144,8.248904185517429
Vanaspati (Packed),2020→2021,-10.824618250112044,30.451426417456993,29.428244000873065,21.961410981185043
Vanaspati (Packed),2021→2022,-0.777291920420432,20.54241274110224,16.97438147258612,10.510346361210022
Vanaspati (Packed),2022→2023,-45.89069819045351,23.43790551122798,19.44280364001109,15.225207344915384
Vanaspati (Packed),2023→2024,-33.28984407555686,4.429768374467824,3.748351390879641,2.974570422609185
Wheat,2018→2019,-2.0995042043500782,1.3613665005254052,1.1781578598920959,3.3760693302847935
Wheat,2019→2020,-8.780807931216858,0.8658003123613505,0.5857147282077193,1.6244732728340543
Wheat,2020→2021,-1.28682332947036,0.7696553950633706,0.6455605667857588,1.7814069572592313
Wheat,2021→2022,-4.928228790053519,2.13882749424454,1.9683882111931734,5.08767359481096
Wheat,2022→2023,-6.539453017738651,3.1183253344128765,3.0204911312995897,6.99166010956106
Wheat,2023→2024,-10.894111228879742,0.7066183554076537,0.6464990962958135,1.4256032173489046
